20:00:12.087519 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 46337:47785, ack 1, win 1358, options [nop,nop,TS val 168255 ecr 4294908157], length 1448
20:00:12.189608 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 47785:49233, ack 1, win 1358, options [nop,nop,TS val 168255 ecr 4294908157], length 1448
20:00:12.282394 IP 112.26.0.8.35128 > 112.26.0.1.34747: Flags [.], ack 46337, win 1066, options [nop,nop,TS val 4294908654 ecr 167658,nop,nop,sack 1 {49233:56473}], length 0
20:00:12.282807 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 63713:65161, ack 1, win 1358, options [nop,nop,TS val 168841 ecr 4294908654], length 1448
20:00:12.291548 IP 112.26.0.8.35128 > 112.26.0.1.34747: Flags [.], ack 46337, win 1088, options [nop,nop,TS val 4294908678 ecr 167658,nop,nop,sack 1 {49233:57921}], length 0
20:00:12.291771 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 65161:66609, ack 1, win 1358, options [nop,nop,TS val 168850 ecr 4294908678], length 1448
20:00:12.297077 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 57921:59369, ack 1, win 1358, options [nop,nop,TS val 168450 ecr 4294908268], length 1448
20:00:12.396362 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 59369:60817, ack 1, win 1358, options [nop,nop,TS val 168464 ecr 4294908360], length 1448
20:00:12.484072 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 60817:62265, ack 1, win 1358, options [nop,nop,TS val 168546 ecr 4294908481], length 1448
20:00:12.501590 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 62265:63713, ack 1, win 1358, options [nop,nop,TS val 168635 ecr 4294908557], length 1448
20:00:12.586887 IP 112.26.0.8.35128 > 112.26.0.1.34747: Flags [.], ack 47785, win 1111, options [nop,nop,TS val 4294908963 ecr 168255,nop,nop,sack 1 {49233:57921}], length 0
20:00:12.587224 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 66609:68057, ack 1, win 1358, options [nop,nop,TS val 169145 ecr 4294908963], length 1448
20:00:12.612651 IP 112.26.0.8.35128 > 112.26.0.1.34747: Flags [.], ack 57921, win 1134, options [nop,nop,TS val 4294909066 ecr 168255], length 0
20:00:12.612915 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 68057:69505, ack 1, win 1358, options [nop,nop,TS val 169171 ecr 4294909066], length 1448
20:00:12.676362 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 63713:65161, ack 1, win 1358, options [nop,nop,TS val 168841 ecr 4294908654], length 1448
20:00:12.700350 IP 112.26.0.8.35128 > 112.26.0.1.34747: Flags [.], ack 59369, win 1156, options [nop,nop,TS val 4294909173 ecr 168450], length 0
20:00:12.700668 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 69505:70953, ack 1, win 1358, options [nop,nop,TS val 169259 ecr 4294909173], length 1448
20:00:12.777234 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 65161:66609, ack 1, win 1358, options [nop,nop,TS val 168850 ecr 4294908678], length 1448
20:00:12.812309 IP 112.26.0.8.35128 > 112.26.0.1.34747: Flags [.], ack 60817, win 1179, options [nop,nop,TS val 4294909273 ecr 168464], length 0
20:00:12.812644 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 70953:72401, ack 1, win 1358, options [nop,nop,TS val 169371 ecr 4294909273], length 1448
20:00:12.905608 IP 112.26.0.8.35128 > 112.26.0.1.34747: Flags [.], ack 66609, win 1269, options [nop,nop,TS val 4294909653 ecr 168850], length 0
20:00:12.905858 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 72401:73849, ack 1, win 1358, options [nop,nop,TS val 169464 ecr 4294909653], length 1448
20:00:12.905898 IP 112.26.0.1.34747 > 112.26.0.8.35128: Flags [.], seq 73849:75297, ack 1, win 1358, options [nop,nop,TS val 169464 ecr 4294909653], length 1448
